episode,step,train_score,eval_score,best_score,epsilon,loss,q_avg_0,q_min_0,q_max_0,q_avg_1,q_min_1,q_max_1
189,2833,-4.0,-4.0,-4.0,             0.07359,0.048990358443309866,0.598,-0.553,1.07,0.541,-0.589,1.204
190,2848,-5.0,-4.0,-4.0,             0.07258,0.047189626718560855,0.694,-0.671,1.168,0.63,-0.881,1.164
191,2867,-4.0,-5.0,-4.0,             0.07132,0.055426869933542455,0.504,-0.677,0.869,0.467,-0.781,1.019
192,2882,-5.0,-5.0,-4.0,             0.07034,0.050488581011692686,1.06,-0.733,1.691,1.087,-0.893,1.474
193,2897,-5.0,-5.0,-4.0,             0.06937,0.04476065486669541,0.652,-1.013,1.119,0.543,-1.144,0.863
194,2912,-5.0,-5.0,-4.0,             0.06842,0.05233202204108238,0.51,-0.79,1.027,0.434,-0.619,0.715
195,2919,-5.0,-5.0,-4.0,             0.06798,0.08130228998405593,1.04,0.937,1.386,1.202,1.058,1.309
196,2943,-4.0,-4.0,-4.0,             0.06650,0.05565881892107427,0.759,-0.766,1.229,0.733,-0.853,1.408
197,2961,-4.0,-4.0,-4.0,             0.06540,0.048014061628944345,0.526,-0.444,0.955,0.473,-0.481,0.821
198,2976,-5.0,-4.0,-4.0,             0.06451,0.04958399049937725,0.691,-0.62,1.271,0.71,-0.5,1.196
199,2992,-4.0,-4.0,-4.0,             0.06356,0.05888894875533879,0.555,-0.721,0.82,0.529,-0.672,0.823
200,3007,-5.0,-4.0,-4.0,             0.06269,0.05391906090080738,0.969,-0.492,1.442,0.943,-0.287,1.352
201,3022,-5.0,-5.0,-4.0,             0.06183,0.047955068200826644,0.613,-0.549,0.977,0.56,-0.688,0.816
202,3037,-5.0,-5.0,-4.0,             0.06098,0.055787967145442964,0.789,-0.921,1.218,0.677,-1.08,1.061
203,3052,-5.0,-5.0,-4.0,             0.06015,0.055098027487595874,0.84,-0.745,1.303,0.792,-0.897,1.297
204,3070,-4.0,-5.0,-4.0,             0.05916,0.042117096587187715,0.929,-0.608,1.412,0.868,-0.657,2.069
205,3085,-5.0,-5.0,-4.0,             0.05834,0.04845262443025907,0.777,-0.555,1.209,0.702,-0.786,1.167
206,3101,-5.0,-5.0,-4.0,             0.05749,0.04644945648033172,0.733,-0.999,1.466,0.739,-1.056,2.115
207,3114,-5.0,-5.0,-4.0,             0.05681,0.047968229422202475,0.716,0.404,0.969,0.666,0.439,0.873
208,3129,-5.0,-5.0,-4.0,             0.05603,0.05753265557189782,0.67,-0.738,1.213,0.787,-0.477,1.191
209,3144,-5.0,-5.0,-4.0,             0.05526,0.04711308218538761,0.648,-0.555,1.089,0.587,-0.683,0.905
210,3162,-4.0,-5.0,-4.0,             0.05435,0.04279619636428025,0.598,-0.843,1.224,0.46,-1.074,1.104
211,3177,-5.0,-5.0,-4.0,             0.05360,0.044410418967405954,0.752,-1.008,1.267,0.699,-1.212,1.221
212,3192,-5.0,-5.0,-4.0,             0.05287,0.04118074830621481,0.487,-0.53,0.707,0.47,-0.342,0.754
213,3203,-5.0,-5.0,-4.0,             0.05234,0.051252721724185074,0.962,0.695,1.311,1.014,0.828,1.369
214,3218,-5.0,-5.0,-4.0,             0.05162,0.04211879298090935,0.739,-0.713,1.196,0.758,-0.6,1.178
215,3233,-5.0,-5.0,-4.0,             0.05091,0.04769785354534785,0.531,-0.634,0.884,0.486,-0.632,0.748
216,3249,-4.0,-5.0,-4.0,             0.05016,0.04525783273857087,0.678,-0.859,1.274,0.612,-0.998,1.867
217,3264,-5.0,-5.0,-4.0,             0.04948,0.05408080369234085,0.553,-0.671,0.812,0.503,-0.792,0.755
218,3288,-4.0,-5.0,-4.0,             0.04839,0.04114056145772338,0.555,-0.576,0.935,0.513,-0.662,1.064
219,3303,-5.0,-5.0,-4.0,             0.04773,0.05558146486679713,0.617,-0.645,1.218,0.595,-0.517,1.056
220,3318,-5.0,-5.0,-4.0,             0.04708,0.059199763586123784,0.764,-0.772,1.274,0.743,-0.974,1.171
221,3333,-5.0,-4.0,-4.0,             0.04643,0.042960158362984655,1.005,-0.811,1.608,0.987,-0.983,2.282
222,3348,-5.0,-4.0,-4.0,             0.04579,0.039315274854501085,0.501,-0.467,0.786,0.396,-0.728,0.726
223,3366,-4.0,-4.0,-4.0,             0.04504,0.05166990516914262,0.649,-0.918,1.366,0.521,-1.091,1.026
224,3384,-4.0,-4.0,-4.0,             0.04430,0.04396437636266152,0.724,-0.821,1.384,0.555,-0.711,1.082
225,3395,-5.0,-4.0,-4.0,             0.04385,0.051731426268815994,0.807,0.577,1.099,0.808,0.64,0.999
226,3410,-5.0,-5.0,-4.0,             0.04325,0.04807582398255666,0.788,-0.868,1.343,0.802,-0.697,1.387
